SKU,Name,Cost,Qty,Category
TEST-SKU-0482,Test Product 482,46.13,77,Meat
TEST-SKU-0483,Test Product 483,13.76,21,Vegetables
TEST-SKU-0484,Test Product 484,43.83,124,Meat
TEST-SKU-0485,Test Product 485,31.2,27,Beverages
TEST-SKU-0486,Test Product 486,19.3,200,Beverages
TEST-SKU-0487,Test Product 487,18.6,68,Bakery
TEST-SKU-0488,Test Product 488,24.71,166,Beverages
TEST-SKU-0489,Test Product 489,8.26,141,Beverages
TEST-SKU-0490,Test Product 490,2.33,181,Dairy
TEST-SKU-0491,Test Product 491,16.16,64,Fruits
TEST-SKU-0492,Test Product 492,8.93,107,Vegetables
TEST-SKU-0493,Test Product 493,19.15,54,Fruits
TEST-SKU-0494,Test Product 494,9.61,27,Dairy
TEST-SKU-0495,Test Product 495,10.92,60,Pantry
TEST-SKU-0496,Test Product 496,40.55,33,Fruits
TEST-SKU-0497,Test Product 497,1.66,67,Vegetables
TEST-SKU-0498,Test Product 498,9.72,174,Vegetables
TEST-SKU-0499,Test Product 499,36.94,160,Pantry
TEST-SKU-0500,Test Product 500,16.88,188,Beverages
